customer_id	company_name	plan	segment	total_eventos	_generated_at
c_0157	Atlas Logistica	pro	Government	160	2026-09-15 21:57:20.829982 UTC
c_0086	Solar Alimentos	pro	MidMarket	146	2026-09-15 21:57:20.829982 UTC
c_0003	Horizonte Saude	pro	Government	130	2026-09-15 21:57:20.829982 UTC
c_0310	Vale Saude	enterprise	MidMarket	116	2026-09-15 21:57:20.829982 UTC
c_0332	Forte Logistica	pro	MidMarket	114	2026-09-15 21:57:20.829982 UTC
c_0372	Horizonte Educacao	pro	MidMarket	93	2026-09-15 21:57:20.829982 UTC
c_0118	Forte Industria	pro	Enterprise	84	2026-09-15 21:57:20.829982 UTC
c_0400	Lumen Consultoria	pro	MidMarket	79	2026-09-15 21:57:20.829982 UTC
c_0116	Solar Sistemas	enterprise	Education	78	2026-09-15 21:57:20.829982 UTC
c_0034	Vale Consultoria	pro	MidMarket	78	2026-09-15 21:57:20.829982 UTC
