cohort_month	activity_month	clientes_na_coorte	clientes_ativos	retencao_pct	_generated_at
2024-09	2026-05	6	5	83.33	2026-09-15 21:57:30.513361 UTC
2024-09	2026-06	6	5	83.33	2026-09-15 21:57:30.513361 UTC
2024-09	2026-07	6	6	100.0	2026-09-15 21:57:30.513361 UTC
2024-09	2026-08	6	6	100.0	2026-09-15 21:57:30.513361 UTC
2024-10	2026-05	15	15	100.0	2026-09-15 21:57:30.513361 UTC
2024-10	2026-06	15	15	100.0	2026-09-15 21:57:30.513361 UTC
2024-10	2026-07	15	15	100.0	2026-09-15 21:57:30.513361 UTC
2024-10	2026-08	15	15	100.0	2026-09-15 21:57:30.513361 UTC
2024-11	2026-05	5	5	100.0	2026-09-15 21:57:30.513361 UTC
2024-11	2026-06	5	5	100.0	2026-09-15 21:57:30.513361 UTC
2024-11	2026-07	5	5	100.0	2026-09-15 21:57:30.513361 UTC
2024-11	2026-08	5	5	100.0	2026-09-15 21:57:30.513361 UTC
2024-12	2026-05	10	10	100.0	2026-09-15 21:57:30.513361 UTC
2024-12	2026-06	10	10	100.0	2026-09-15 21:57:30.513361 UTC
2024-12	2026-07	10	10	100.0	2026-09-15 21:57:30.513361 UTC
2024-12	2026-08	10	10	100.0	2026-09-15 21:57:30.513361 UTC
2025-01	2026-05	10	10	100.0	2026-09-15 21:57:30.513361 UTC
2025-01	2026-06	10	10	100.0	2026-09-15 21:57:30.513361 UTC
2025-01	2026-07	10	10	100.0	2026-09-15 21:57:30.513361 UTC
2025-01	2026-08	10	9	90.0	2026-09-15 21:57:30.513361 UTC
2025-02	2026-05	9	9	100.0	2026-09-15 21:57:30.513361 UTC
2025-02	2026-06	9	9	100.0	2026-09-15 21:57:30.513361 UTC
2025-02	2026-07	9	9	100.0	2026-09-15 21:57:30.513361 UTC
2025-02	2026-08	9	9	100.0	2026-09-15 21:57:30.513361 UTC
2025-03	2026-05	11	11	100.0	2026-09-15 21:57:30.513361 UTC
2025-03	2026-06	11	11	100.0	2026-09-15 21:57:30.513361 UTC
2025-03	2026-07	11	11	100.0	2026-09-15 21:57:30.513361 UTC
2025-03	2026-08	11	11	100.0	2026-09-15 21:57:30.513361 UTC
2025-04	2026-05	10	10	100.0	2026-09-15 21:57:30.513361 UTC
2025-04	2026-06	10	10	100.0	2026-09-15 21:57:30.513361 UTC
2025-04	2026-07	10	10	100.0	2026-09-15 21:57:30.513361 UTC
2025-04	2026-08	10	10	100.0	2026-09-15 21:57:30.513361 UTC
2025-05	2026-05	10	9	90.0	2026-09-15 21:57:30.513361 UTC
2025-05	2026-06	10	10	100.0	2026-09-15 21:57:30.513361 UTC
2025-05	2026-07	10	9	90.0	2026-09-15 21:57:30.513361 UTC
2025-05	2026-08	10	8	80.0	2026-09-15 21:57:30.513361 UTC
2025-06	2026-05	11	11	100.0	2026-09-15 21:57:30.513361 UTC
2025-06	2026-06	11	11	100.0	2026-09-15 21:57:30.513361 UTC
2025-06	2026-07	11	11	100.0	2026-09-15 21:57:30.513361 UTC
2025-06	2026-08	11	11	100.0	2026-09-15 21:57:30.513361 UTC
2025-07	2026-05	18	17	94.44	2026-09-15 21:57:30.513361 UTC
2025-07	2026-06	18	18	100.0	2026-09-15 21:57:30.513361 UTC
2025-07	2026-07	18	16	88.89	2026-09-15 21:57:30.513361 UTC
2025-07	2026-08	18	17	94.44	2026-09-15 21:57:30.513361 UTC
2025-08	2026-05	11	11	100.0	2026-09-15 21:57:30.513361 UTC
2025-08	2026-06	11	11	100.0	2026-09-15 21:57:30.513361 UTC
2025-08	2026-07	11	11	100.0	2026-09-15 21:57:30.513361 UTC
2025-08	2026-08	11	11	100.0	2026-09-15 21:57:30.513361 UTC
2025-09	2026-05	11	11	100.0	2026-09-15 21:57:30.513361 UTC
2025-09	2026-06	11	11	100.0	2026-09-15 21:57:30.513361 UTC
2025-09	2026-07	11	11	100.0	2026-09-15 21:57:30.513361 UTC
2025-09	2026-08	11	11	100.0	2026-09-15 21:57:30.513361 UTC
2025-10	2026-05	10	10	100.0	2026-09-15 21:57:30.513361 UTC
2025-10	2026-06	10	10	100.0	2026-09-15 21:57:30.513361 UTC
2025-10	2026-07	10	10	100.0	2026-09-15 21:57:30.513361 UTC
2025-10	2026-08	10	9	90.0	2026-09-15 21:57:30.513361 UTC
2025-11	2026-05	12	12	100.0	2026-09-15 21:57:30.513361 UTC
2025-11	2026-06	12	12	100.0	2026-09-15 21:57:30.513361 UTC
2025-11	2026-07	12	12	100.0	2026-09-15 21:57:30.513361 UTC
2025-11	2026-08	12	12	100.0	2026-09-15 21:57:30.513361 UTC
2025-12	2026-05	10	9	90.0	2026-09-15 21:57:30.513361 UTC
2025-12	2026-06	10	9	90.0	2026-09-15 21:57:30.513361 UTC
2025-12	2026-07	10	10	100.0	2026-09-15 21:57:30.513361 UTC
2025-12	2026-08	10	9	90.0	2026-09-15 21:57:30.513361 UTC
2026-01	2026-05	12	12	100.0	2026-09-15 21:57:30.513361 UTC
2026-01	2026-06	12	11	91.67	2026-09-15 21:57:30.513361 UTC
2026-01	2026-07	12	11	91.67	2026-09-15 21:57:30.513361 UTC
2026-01	2026-08	12	12	100.0	2026-09-15 21:57:30.513361 UTC
2026-02	2026-05	8	8	100.0	2026-09-15 21:57:30.513361 UTC
2026-02	2026-06	8	8	100.0	2026-09-15 21:57:30.513361 UTC
2026-02	2026-07	8	8	100.0	2026-09-15 21:57:30.513361 UTC
2026-02	2026-08	8	7	87.5	2026-09-15 21:57:30.513361 UTC
2026-03	2026-05	7	6	85.71	2026-09-15 21:57:30.513361 UTC
2026-03	2026-06	7	7	100.0	2026-09-15 21:57:30.513361 UTC
2026-03	2026-07	7	7	100.0	2026-09-15 21:57:30.513361 UTC
2026-03	2026-08	7	6	85.71	2026-09-15 21:57:30.513361 UTC
2026-04	2026-05	12	12	100.0	2026-09-15 21:57:30.513361 UTC
2026-04	2026-06	12	12	100.0	2026-09-15 21:57:30.513361 UTC
2026-04	2026-07	12	12	100.0	2026-09-15 21:57:30.513361 UTC
2026-04	2026-08	12	11	91.67	2026-09-15 21:57:30.513361 UTC
2026-05	2026-05	46	41	89.13	2026-09-15 21:57:30.513361 UTC
2026-05	2026-06	46	46	100.0	2026-09-15 21:57:30.513361 UTC
2026-05	2026-07	46	45	97.83	2026-09-15 21:57:30.513361 UTC
2026-05	2026-08	46	45	97.83	2026-09-15 21:57:30.513361 UTC
2026-06	2026-06	49	43	87.76	2026-09-15 21:57:30.513361 UTC
2026-06	2026-07	49	49	100.0	2026-09-15 21:57:30.513361 UTC
2026-06	2026-08	49	49	100.0	2026-09-15 21:57:30.513361 UTC
2026-07	2026-07	52	48	92.31	2026-09-15 21:57:30.513361 UTC
2026-07	2026-08	52	52	100.0	2026-09-15 21:57:30.513361 UTC
2026-08	2026-08	58	45	77.59	2026-09-15 21:57:30.513361 UTC
